,churn
49013,1
5428,1
70532,1
99153,1
36029,0
5856,0
51592,1
40164,0
14971,1
41981,0
68507,1
93642,0
94974,0
54160,0
68167,1
34139,1
25312,0
57019,1
77557,1
1225,0
3571,1
51269,0
24224,1
1556,0
73723,1
2658,1
77701,0
76049,1
3622,0
48381,1
12420,0
31449,0
14844,0
55403,1
28154,1
40114,1
95243,1
55751,1
6908,0
91589,1
66303,1
6771,0
29627,0
33921,1
15620,0
34082,0
74130,0
87401,0
60629,1
75622,0
95072,0
46897,0
51362,1
59911,1
80029,1
63507,1
38570,1
67665,0
13245,0
98423,0
64261,0
47363,1
79068,1
69922,1
46861,1
87879,1
24337,0
65721,0
35980,0
24942,1
77687,0
94543,0
33844,1
57072,1
20168,0
23437,0
72872,1
54784,1
35376,0
34293,1
32098,0
26336,0
37748,0
59189,1
15887,0
29857,1
78679,0
47643,0
19578,0
58066,1
27538,1
14250,1
37477,0
42353,0
14126,0
91194,0
38339,1
21996,1
98187,1
31469,0
48656,1
44929,0
84037,0
59056,1
50333,1
81648,0
23872,0
54677,0
20060,1
72297,0
64381,1
67110,0
38506,0
71260,1
55081,1
42430,0
90782,1
1920,1
43002,1
84768,0
67053,0
28476,1
56472,0
305,1
66470,0
98207,0
39284,1
29619,1
95587,0
6841,0
54720,0
4590,1
70885,0
93805,0
85145,0
99739,1
75157,0
7622,0
17196,0
53632,0
5018,0
41190,0
8342,0
82215,1
29633,0
35050,0
21324,1
63514,1
73869,0
59143,1
37483,1
15320,1
60616,0
93904,1
26959,1
87713,1
15334,1
63535,0
19432,1
63255,1
40075,0
74968,0
71732,0
77953,1
3024,0
89431,0
19416,0
79654,0
40367,0
93133,0
66629,0
89018,0
24742,1
8805,1
80081,1
61849,1
40512,1
53921,1
64563,1
94113,0
18987,0
64818,1
95218,0
63850,1
66909,0
32885,0
31829,0
76496,1
11005,1
56991,1
31173,0
97995,0
51008,1
57499,0
96354,1
73764,1
65304,0
98293,1
62375,1
14366,1
90373,1
3646,0
47104,1
19203,1
65054,0
18487,1
92224,0
64001,0
97400,0
39992,0
98104,0
52085,0
93851,1
4363,1
30010,0
88828,0
16679,1
35761,0
41600,0
34784,1
64851,1
4718,0
74381,1
46601,1
24586,0
62371,0
76211,1
52011,1
25854,1
69762,0
1664,0
75344,0
63698,1
49453,0
91416,1
6131,0
58589,1
36263,0
51714,0
91136,0
2807,0
76186,0
83674,0
63606,0
50482,1
44504,0
22515,1
16734,0
54105,0
36274,0
65748,0
83071,1
1331,1
37406,1
30749,1
83287,0
97697,0
61025,0
53635,1
5574,0
16078,0
25451,0
91401,0
48668,0
72542,0
91751,1
58637,1
70962,1
54938,0
